Genus,Species,Family,Illegally_Hunted,Threat_status,Adult_weight,Age_first_birth,Age_maturity,Gestation.length,Interbirth_interval,Group_size,GeographicRange_km2,HomeRange_km2,MaximumLongevity_months,PopulationDensity_km2,MeanHumanPopulationDensity_km2,2003GrossNationalIncome_US$,MatingSystem,Diet,HabitatBreadth
Bubalus,mephistopheles,Bovidae,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bubalus,mindorensis,Bovidae,No,NA,251000,NA,657.99,306.06,1095,1,9913,NA,336,NA,161.33,86607.1,NA,NA,3
Bubalus,quarlesi,Bovidae,Yes,NA,180000,NA,657.99,295,NA,1,56312,NA,270,NA,62.96,199369,NA,NA,NA
Budorcas,taxicolor,Bovidae,Yes,Threatened,291000,NA,807.96,235.61,365,14,402044,NA,234.96,NA,58.63,1397475.94,Polygamous,Generalist,4
Camelus,bactrianus,Camelidae,No,Threatened,547000,1460,1219.47,398,730,6.2,188693,NA,480,0.06,1.83,1368972.03,NA,Generalist,3
Camelus,dromedarius,Camelidae,No,NA,488000,1738.31,1670.1,386.52,614.42,10,NA,200,480,0.97,NA,NA,Polygamous,Generalist,NA
Capra,caucasica,Bovidae,No,Threatened,63300,NA,732.49,153.53,365,NA,32782,NA,228.96,NA,40.23,259038.94,NA,NA,4
Capra,cylindricornis,Bovidae,No,NA,57500,NA,879.29,155,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,4
Capra,falconeri,Bovidae,No,Threatened,53600,730,879.29,167.99,NA,NA,155076,NA,168,NA,88.37,57021.4,NA,NA,4
Capra,hircus,Bovidae,No,Threatened,46900,669.17,419.67,156,365,NA,NA,99.5,249.6,7.69,NA,NA,Polygamous,Generalist,4
Capra,ibex,Bovidae,Yes,Not_Threatened,69300,912.5,758.53,167.5,547.5,NA,145098,NA,267.6,NA,135.27,1005835.43,Polygamous,Generalist,4
Capra,nubiana,Bovidae,Yes,NA,47600,NA,NA,150,NA,NA,177987,NA,204,NA,13.76,102232.74,NA,NA,NA
Capra,pyrenaica,Bovidae,No,Not_Threatened,60200,NA,NA,150,NA,NA,110473,0.66,192,NA,72.32,829643,Polygamous,NA,5
Capra,sibirica,Bovidae,Yes,Not_Threatened,130000,NA,NA,175,NA,NA,2802214,NA,267,NA,23.16,511911.07,NA,NA,NA
Capra,walie,Bovidae,No,NA,99400,NA,NA,157.5,NA,NA,4295,NA,NA,4.13,63.17,6597.13,NA,NA,1
Capreolus,capreolus,Cervidae,No,Not_Threatened,22400,730,391.77,161.54,365,NA,6777178,0.53,204,7.72,101.79,517106.23,Polygamous,Generalist,4
Capreolus,pygargus,Cervidae,No,Not_Threatened,41000,NA,769.85,290,NA,NA,9816966,1,NA,80,26.63,625592.67,NA,NA,4
Catagonus,wagneri,Tayassuidae,No,NA,35200,730,773.66,152.08,NA,5.75,329881,7.11,108,9.24,1.68,60097.86,NA,NA,3
Cephalophus,adersi,Bovidae,Yes,Threatened,9250,NA,NA,120,NA,NA,3824,NA,48.96,3.66,187.18,12626.73,NA,Generalist,NA
Cephalophus,callipygus,Bovidae,Yes,Not_Threatened,18800,NA,NA,NA,NA,NA,788398,0.33,NA,NA,12.47,5479.02,NA,Generalist,2
Cephalophus,dorsalis,Bovidae,Yes,Not_Threatened,20000,760.42,465.58,238,NA,1,2874503,0.28,204.96,NA,34.09,6401.09,NA,Generalist,4
Cephalophus,harveyi,Bovidae,Yes,Threatened,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Generalist,NA
Cephalophus,jentinki,Bovidae,No,NA,67500,NA,NA,NA,NA,NA,130952,NA,210,0.1,55.45,7387.68,NA,Generalist,2
Cephalophus,leucogaster,Bovidae,Yes,Not_Threatened,13000,NA,NA,NA,NA,NA,1396673,NA,63.96,NA,19.68,5338.08,NA,Generalist,3
Cephalophus,maxwellii,Bovidae,Yes,Not_Threatened,8440,1095,291.81,205,NA,1.95,1214156,NA,147,5.89,78.44,12232.38,Monogamous,Generalist,3
Cephalophus,monticola,Bovidae,Yes,Not_Threatened,4860,577.92,304.74,205,265,1.9,6552146,NA,144,35.7,33.48,10992.09,Monogamous,Generalist,4
Cephalophus,natalensis,Bovidae,Yes,Threatened,12000,NA,NA,212.98,235,2,1208751,0.07,180,6.87,37.4,16080.22,Monogamous,Generalist,NA
Cephalophus,niger,Bovidae,Yes,Not_Threatened,18900,NA,NA,126,NA,NA,726891,NA,122.04,1.12,100.88,12725.19,NA,Generalist,1
Cephalophus,nigrifrons,Bovidae,Yes,Not_Threatened,14200,NA,NA,NA,NA,NA,2766201,NA,236.4,2,27.94,6030.49,NA,Generalist,NA
Cephalophus,ogilbyi,Bovidae,Yes,Not_Threatened,18200,NA,NA,121.67,NA,NA,587613,0.08,NA,NA,88.05,12609.93,NA,Generalist,1
Cephalophus,rubidus,Bovidae,No,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Generalist,NA
Cephalophus,rufilatus,Bovidae,Yes,Threatened,12000,794.64,NA,234,NA,1,3098970,NA,114,3.09,46.8,16863.65,NA,Generalist,NA
Cephalophus,silvicultor,Bovidae,Yes,Not_Threatened,61300,NA,NA,234.44,306,1,6018052,NA,207.96,0.49,36.83,8102.57,NA,Generalist,4
Cephalophus,spadix,Bovidae,No,NA,56500,NA,NA,NA,NA,NA,36583,NA,65.04,NA,49.39,10555.98,NA,Generalist,3
Cephalophus,weynsi,Bovidae,Yes,Not_Threatened,NA,NA,NA,NA,NA,NA,1692834,NA,183,NA,42.21,5385.1,NA,Generalist,1
Cephalophus,zebra,Bovidae,No,NA,15400,NA,NA,223.9,NA,NA,171547,NA,146.04,NA,37.94,5522.09,Monogamous,Generalist,2
Cervus,albirostris,Cervidae,Yes,NA,161000,NA,NA,263.42,NA,NA,1061383,NA,216,NA,12.83,1574470,NA,NA,3
Cervus,alfredi,Cervidae,No,NA,45800,NA,NA,243.33,NA,NA,24505,NA,NA,NA,291.84,86607.1,NA,NA,2
Cervus,duvaucelii,Cervidae,No,NA,169000,1095,732.49,245,NA,64.25,255737,14.3,NA,11.4,428.69,583158.8,Polygamous,Specialist,4
Cervus,elaphus,Cervidae,Yes,Not_Threatened,240000,993.71,549.37,235.61,NA,17.5,14167732,58.4,321.6,2.9,60.8,1927498.8,Polygamous,Generalist,5
Cervus,eldii,Cervidae,No,Threatened,94700,958.13,449.86,240.2,382.7,NA,119941,NA,232.8,NA,64.12,213164.16,Polygamous,Specialist,4
Cervus,mariannus,Cervidae,Yes,NA,49100,NA,NA,NA,NA,NA,220498,NA,NA,NA,222.55,86607.1,NA,NA,3
Cervus,nippon,Cervidae,No,Not_Threatened,53000,1095,451.11,223.66,NA,7.5,2714653,1.45,305.04,0.75,331.56,1870074.25,Polygamous,Specialist,4
Cervus,timorensis,Cervidae,Yes,Not_Threatened,65800,NA,639.13,250.29,366,NA,132249,NA,NA,NA,804.21,199369,Polygamous,Generalist,4
Cervus,unicolor,Cervidae,Yes,Not_Threatened,176000,788.4,549.37,246,NA,NA,7050571,NA,317.04,4.9,218.9,554944.91,Polygamous,Generalist,4
Connochaetes,gnou,Bovidae,No,Not_Threatened,154000,912.5,817.08,256.76,NA,26.75,132201,0.97,240,33.7,21.87,154675.6,Polygamous,Specialist,2
Connochaetes,taurinus,Bovidae,Yes,Threatened,196000,730,730,251.5,365,20,3201114,NA,258,7.77,19.13,25033.37,Polygamous,Specialist,3
Dama,dama,Cervidae,No,Not_Threatened,56200,1095,466.49,230,365,10.5,3081759,0.72,300,22,128.41,733214.02,Polygamous,Generalist,3
Dama,mesopotamica,Cervidae,No,NA,74400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damaliscus,hunteri,Bovidae,No,Threatened,78600,,NA,252.28,NA,13.5,30189,NA,182.04,0.41,6.59,5034.86,Polygamous,Specialist,3
Damaliscus,lunatus,Bovidae,Yes,Threatened,131000,912.5,682.79,238,NA,3.6,4545042,NA,216,2.92,25.52,12075.97,Polygamous,Specialist,3
Damaliscus,pygargus,Bovidae,Yes,Threatened,76700,1003.75,522.63,240.71,365,NA,370656,NA,260.04,23.9,39.93,151214.81,Polygamous,Specialist,3
Dorcatragus,megalotis,Bovidae,No,NA,10900,NA,,NA,NA,7,77951,NA,168,NA,9.78,1295.48,Polygamous,Specialist,1
Elaphodus,cephalophus,Cervidae,No,NA,23000,NA,547.5,181.25,NA,NA,1959738,NA,NA,NA,202.34,NA,Monogamous,NA,1
Elaphurus,davidianus,Cervidae,No,NA,165000,NA,NA,286.5,359.5,NA,NA,NA,279.6,NA,NA,NA,Polygamous,Specialist,NA
Gazella,bennettii,Bovidae,No,Not_Threatened,18900,NA,NA,NA,NA,NA,1733312,NA,NA,NA,203.11,464466.3,NA,NA,2
Gazella,cuvieri,Bovidae,No,NA,NA,NA,NA,166.13,NA,NA,1047003,NA,NA,NA,50.98,NA,Polygamous,Generalist,5
Gazella,dama,Bovidae,No,Threatened,70400,NA,NA,194.94,182.5,1,1593779,NA,207.96,0.18,5.5,8281.67,Polygamous,Generalist,2
Gazella,dorcas,Bovidae,No,Threatened,15500,836.46,525.26,172,337.85,6.75,10374954,15.8,209.04,2.24,18.56,31525.08,NA,Generalist,4
Gazella,gazella,Bovidae,No,Threatened,21200,547.5,408.01,180,228.13,7.2,1151479,1.46,219,0.4,48.75,103943.67,NA,NA,4
Gazella,granti,Bovidae,Yes,Threatened,55000,NA,225.35,191.21,NA,NA,963156,NA,152.04,3.82,40.53,11632.92,Polygamous,Generalist,4
Gazella,leptoceros,Bovidae,No,NA,24300,319.38,NA,167.29,NA,NA,2188576,NA,168,NA,6.52,29742.03,Polygamous,Generalist,1
Gazella,rufifrons,Bovidae,No,Threatened,27000,NA,NA,174.73,NA,NA,3084372,NA,162,1.52,32.64,9370.32,NA,Generalist,3
Gazella,soemmerringii,Bovidae,No,NA,41000,802.24,350.18,192.54,NA,NA,1089492,NA,186,5.33,23.85,6577.22,NA,Generalist,3
Gazella,spekei,Bovidae,No,NA,20000,NA,366.79,178.6,206.5,14.25,170828,NA,152.04,NA,11.38,924.64,NA,Generalist,4
Gazella,subgutturosa,Bovidae,Yes,Threatened,26700,NA,366.25,159.69,NA,5.5,8790680,NA,240,0.64,25.75,424954.19,Polygamous,NA,4
Gazella,thomsonii,Bovidae,Yes,Threatened,22600,552.52,354.01,166.14,193.91,NA,515821,NA,182.04,14.6,50.74,12907.38,Polygamous,Specialist,2
Giraffa,camelopardalis,Giraffidae,Yes,Threatened,955000,1825,1400.59,455.25,608.33,100,2791593,82.5,435.6,1.2,18.24,13185.09,Polygamous,Specialist,3
Hemitragus,hylocrius,Bovidae,No,NA,73700,669.17,NA,186.59,237.25,NA,2110,NA,207,NA,486.14,597574,Polygamous,NA,3
Hemitragus,jayakari,Bovidae,No,NA,21900,NA,NA,164.32,NA,NA,16234,NA,168,NA,40.38,19790.5,NA,NA,1
Hemitragus,jemlahicus,Bovidae,Yes,Threatened,67900,730,1353.51,195.77,365,NA,130100,NA,261.6,NA,98.05,509070.04,Polygamous,NA,3
Hexaprotodon,liberiensis,Hippopotamidae,Yes,NA,227000,NA,1315.97,200,NA,1.25,35807,0.74,525.6,NA,86.62,22997.21,NA,Generalist,2
Hippocamelus,antisensis,Bovidae,No,NA,68600,NA,NA,235.73,NA,7.3,993124,NA,127.2,1.2,7.77,116924.39,NA,Specialist,3
Hippocamelus,bisulcus,Bovidae,No,NA,68800,NA,NA,212.92,NA,1.9,121225,0.88,NA,1.11,2.49,83665.73,Polygamous,Generalist,3
Hippopotamus,amphibius,Hippopotamidae,Yes,Threatened,1520000,1460,1750.88,235.37,696.54,NA,1849389,NA,654,4.87,35.22,8638.78,Polygamous,Specialist,3
Hippotragus,equinus,Bovidae,Yes,Threatened,260000,1049.38,730,278.23,317,12,8018853,NA,240,0.94,30.37,12081.88,Polygamous,Specialist,3
Hippotragus,niger,Bovidae,Yes,Threatened,234000,983.37,851.67,272.87,365,15,3149647,NA,267,1.27,28.15,9565.97,Polygamous,Specialist,1
Hydropotes,inermis,Cervidae,No,Not_Threatened,12700,NA,270.67,175.5,NA,NA,1140413,NA,144,NA,373.92,1574470,NA,Generalist,3
Hyemoschus,aquaticus,Tragulidae,Yes,NA,10800,NA,274.16,173.53,NA,1,2571576,0.21,168,16.1,39.68,6663.22,Monogamous,Generalist,2
Hylochoerus,meinertzhageni,Suidae,Yes,Not_Threatened,195000,532.29,451.86,151,365,10,2227871,NA,216,1.5,45.11,6298.68,NA,Generalist,5
Kobus,ellipsiprymnus,Bovidae,Yes,Threatened,202000,NA,1315.59,270,365,12,10067124,1.3,239.04,2.4,34.78,12171.48,Polygamous,Specialist,4
Kobus,kob,Bovidae,Yes,Threatened,79500,395.42,412.03,254.76,NA,40,3179797,101,263.04,2.54,39.38,13705.3,Polygamous,Specialist,4
Kobus,leche,Bovidae,Yes,Threatened,87400,638.75,785.7,229.81,NA,20,229752,NA,222.96,30.8,8.87,7427.78,Polygamous,Specialist,3
Kobus,megaceros,Bovidae,No,Not_Threatened,85200,NA,NA,NA,NA,NA,82555,NA,224.04,0.34,11.78,15658.88,NA,Specialist,3
Kobus,vardonii,Bovidae,Yes,Threatened,71000,NA,NA,258.09,365,5.5,1026509,NA,NA,4.65,15.22,5529.99,Polygamous,Specialist,4
Lama,glama,Camelidae,No,NA,137000,NA,730,334.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,Generalist,NA
Lama,guanicoe,Camelidae,No,Not_Threatened,95500,NA,586.19,334.58,NA,NA,NA,NA,339.6,0.46,NA,NA,Polygamous,Generalist,3
Lama,pacos,Camelidae,No,NA,64900,NA,365,343.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Specialist,NA
Litocranius,walleri,Bovidae,Yes,Threatened,38500,562.71,730,204.15,240.77,8,1594553,NA,156,0.43,20.87,6686.22,Polygamous,Specialist,1
Madoqua,guentheri,Bovidae,Yes,Not_Threatened,4590,NA,116.73,175,NA,6.25,1526489,0.04,168,13.8,21.75,6878.46,NA,Specialist,2
Madoqua,kirkii,Bovidae,Yes,Not_Threatened,4770,501.88,203.68,171.5,182.5,2.5,1734714,NA,198,19,27.97,7190.19,Monogamous,Specialist,3
Madoqua,piacentinii,Bovidae,No,NA,2500,NA,219.33,NA,NA,NA,30486,NA,168,NA,18.06,834.95,NA,Specialist,2
Madoqua,saltiana,Bovidae,No,Not_Threatened,3380,NA,219.82,NA,NA,1.5,1219721,NA,168,NA,20.77,3816.19,Monogamous,Specialist,2
Mazama,americana,Cervidae,Yes,NA,20300,NA,NA,225,NA,1,12958595,NA,165.6,9.43,25.36,332316.79,Monogamous,Specialist,5
Mazama,bricenii,Cervidae,No,NA,16500,NA,NA,NA,NA,NA,83135,NA,NA,NA,74.22,77390.03,NA,Generalist,NA
Mazama,chunyi,Cervidae,No,NA,16000,NA,NA,243.33,NA,NA,112162,NA,NA,NA,14.11,37446.01,NA,Generalist,2
Mazama,gouazoupira,Cervidae,Yes,NA,16400,NA,623.54,220.14,NA,1,12556119,NA,144,9.34,22.64,NA,Monogamous,Generalist,5
Mazama,nana,Cervidae,No,NA,16500,NA,NA,NA,NA,NA,713884,NA,NA,NA,48.64,452318.75,NA,Generalist,NA
Mazama,rufina,Cervidae,No,Not_Threatened,21000,NA,NA,231.65,NA,NA,14704,NA,NA,NA,61.14,25736.4,NA,Generalist,4
Moschiola,meminna,Tragulidae,Yes,Not_Threatened,3090,NA,NA,153.53,NA,NA,1572492,NA,NA,2.78,324.34,573296.25,NA,Generalist,4
Moschus,berezovskii,Moschidae,Yes,Not_Threatened,12300,NA,NA,184.25,NA,NA,2263302,0.14,NA,NA,191.03,1548900.96,NA,Generalist,2
Moschus,chrysogaster,Moschidae,Yes,Not_Threatened,13500,730,505.13,188,NA,1,1789906,0.14,NA,NA,43.15,1298128.4,NA,Generalist,4
Moschus,fuscus,Moschidae,Yes,Not_Threatened,13500,NA,NA,NA,NA,NA,121179,0.14,NA,NA,24.3,1061677.9,NA,Generalist,3
Moschus,moschiferus,Moschidae,Yes,Threatened,13300,NA,388.79,175.92,NA,1,8554235,0.14,NA,NA,20.87,534181.93,NA,Generalist,3
Muntiacus,atherodes,Cervidae,Yes,Not_Threatened,18800,NA,NA,NA,NA,NA,108467,NA,NA,NA,16.82,199369,NA,Generalist,2
Muntiacus,crinifrons,Cervidae,Yes,NA,18300,NA,NA,195.58,NA,NA,128303,NA,NA,NA,327.46,1574470,Monogamous,Generalist,2
Muntiacus,feae,Cervidae,No,NA,17800,NA,NA,195.58,NA,NA,21363,NA,NA,NA,43.4,NA,NA,Generalist,2
Muntiacus,gongshanensis,Cervidae,No,NA,18300,NA,NA,NA,NA,NA,171,NA,NA,NA,8.56,1574470,NA,Generalist,2
Muntiacus,muntjak,Cervidae,Yes,Not_Threatened,17400,NA,293.1,210,241,NA,7321434,NA,211.2,3.17,236.51,512928.91,Monogamous,Generalist,2
Muntiacus,reevesi,Cervidae,No,Not_Threatened,13500,NA,274.37,214.25,215.25,NA,1767641,0.13,NA,0.67,356.67,1573686.63,Monogamous,Generalist,2
Naemorhedus,baileyi,Bovidae,Yes,Threatened,28500,NA,NA,212.92,NA,NA,105198,NA,219,NA,27.92,NA,NA,NA,NA
Naemorhedus,caudatus,Bovidae,No,Threatened,27000,NA,NA,NA,NA,NA,2662960,NA,207.96,NA,155.99,1421720.31,NA,NA,3
Naemorhedus,crispus,Bovidae,No,Threatened,42600,NA,860.23,213,547.5,NA,113318,0.11,222.96,1.98,346.21,4374440,NA,NA,3
Naemorhedus,goral,Bovidae,Yes,Not_Threatened,28700,NA,874,212.92,365,NA,353466,NA,211.2,NA,102.32,515870.04,Polygamous,Generalist,3
Naemorhedus,sumatraensis,Bovidae,Yes,Threatened,110000,NA,NA,231.37,NA,NA,2865764,NA,252,NA,151.35,1083899.38,Monogamous,Specialist,3
Naemorhedus,swinhoei,Bovidae,No,Threatened,NA,NA,NA,NA,NA,NA,11916,NA,NA,NA,595.77,NA,NA,NA,3
Neotragus,batesi,Bovidae,Yes,Not_Threatened,2950,365,317.52,181.25,NA,NA,1089948,NA,168,NA,41.93,9715.57,Monogamous,Specialist,4
Neotragus,moschatus,Bovidae,Yes,Threatened,5600,NA,172.05,180,NA,1.5,1612116,NA,168,16.8,42.02,10079.97,Monogamous,Specialist,4
Neotragus,pygmaeus,Bovidae,Yes,Not_Threatened,3880,NA,NA,180,NA,2,426515,NA,168,NA,74.42,7126.62,NA,Specialist,3
Odocoileus,hemionus,Cervidae,No,Not_Threatened,83800,547.5,451.2,203.5,365,NA,6310738,2.03,264,16,14.39,7035884.6,Polygamous,Generalist,5
Odocoileus,virginianus,Cervidae,Yes,Not_Threatened,75000,463,285.57,201.4,304.17,2.25,14446002,2,276,17.3,34.12,5270196.44,Polygamous,Generalist,5
Okapia,johnstoni,Giraffidae,No,Not_Threatened,230000,NA,821.25,443,NA,1,1105797,4.65,396,1.02,19.43,5392.02,Monogamous,Specialist,3
Oreamnos,americanus,Bovidae,No,Not_Threatened,71300,1095,836.46,181.25,365,3,1137828,18.2,230.04,NA,4.68,3319359.66,NA,Generalist,2
Oreotragus,oreotragus,Bovidae,Yes,Threatened,13400,NA,323.18,214,365,2,5375303,NA,213.96,2.55,38.4,20174.22,Monogamous,Specialist,1
Oryx,gazella,Bovidae,Yes,Threatened,186000,866.88,730,273.75,NA,20,4679314,NA,240,2.48,23.15,43602.17,Polygamous,Specialist,5
Oryx,leucoryx,Bovidae,No,NA,74700,NA,NA,240,NA,5,NA,NA,240,NA,NA,NA,Polygamous,Specialist,NA
Ourebia,ourebi,Bovidae,Yes,Threatened,17100,674.34,323.06,210.5,182.5,2,8258057,NA,189.96,2.36,35.72,14500.83,Monogamous,Specialist,2
Ovibos,moschatus,Bovidae,No,Not_Threatened,313000,1277.5,1095,256.59,547.5,12.5,1615606,NA,288,0.32,0.01,1273689.84,Polygamous,Generalist,4
Ovis,ammon,Bovidae,Yes,Threatened,113000,NA,490.8,165,365,NA,10939817,4.59,180.96,0.03,21.78,606611.35,NA,NA,3
Ovis,aries,Bovidae,No,Threatened,34200,730,699.45,152.08,365,NA,NA,NA,230.04,NA,NA,NA,Polygamous,Specialist,3
Ovis,canadensis,Bovidae,No,Threatened,74600,301.5,622.83,177.49,365,NA,2457850,19,288,1.51,7.03,8883440.61,Polygamous,Specialist,4
Ovis,dalli,Bovidae,No,Not_Threatened,69600,730,641.51,172.49,365,9.5,1014237,10.3,192,NA,0.52,4000375.86,Polygamous,Specialist,4
Ovis,nivicola,Bovidae,No,Threatened,90000,NA,730,NA,NA,,1641069,NA,NA,NA,0.35,419684,NA,NA,4
Ovis,vignei,Bovidae,Yes,NA,51800,NA,NA,165.45,365,35,NA,NA,165.96,NA,NA,NA,NA,NA,1
Ozotoceros,bezoarticus,Cervidae,Yes,Not_Threatened,34400,NA,304.17,220.39,317.08,3.5,3649669,6.17,NA,NA,29.5,341776.06,Polygamous,Generalist,2
Pantholops,hodgsonii,Bovidae,Yes,Threatened,32500,NA,,212.92,365,NA,1113531,,NA,NA,1.69,1574470,Polygamous,Generalist,3
Pecari,tajacu,Tayassuidae,Yes,Not_Threatened,21300,350,253.85,144.85,155,20,15771441,1.4,288,7.93,26.94,732940.86,NA,Generalist,4
Pelea,capreolus,Bovidae,No,Not_Threatened,22500,NA,NA,261,NA,10.25,866217,NA,147.96,18.2,34.26,149006.08,Polygamous,Generalist,3
Phacochoerus,aethiopicus,Suidae,Yes,Not_Threatened,75600,730,541.98,165.41,365,2,851932,1.36,225.6,7.6,17.35,7058.41,NA,Generalist,4
Phacochoerus,africanus,Suidae,Yes,Not_Threatened,82500,NA,NA,172.5,NA,NA,11093471,1.58,180,NA,33.08,13165.51,Polygamous,Generalist,3
Potamochoerus,larvatus,Suidae,Yes,Not_Threatened,68600,NA,NA,121.74,NA,8,5892227,4.55,NA,0.4,40.25,13457.51,NA,Generalist,3
Potamochoerus,porcus,Suidae,Yes,Not_Threatened,70000,NA,969.55,120,365,10.56,5033217,NA,240,0.24,36.83,8561.57,NA,Generalist,3
Procapra,gutturosa,Bovidae,Yes,Not_Threatened,28100,NA,829.79,190.19,365,NA,322171,NA,84,NA,1.55,319066.4,Polygamous,Specialist,3
Procapra,picticaudata,Bovidae,Yes,Not_Threatened,23000,NA,NA,NA,NA,NA,1936511,NA,NA,NA,4.54,1566968.72,NA,NA,3
Procapra,przewalskii,Bovidae,No,NA,27500,NA,NA,NA,NA,NA,40688,NA,NA,NA,59.89,1574470,NA,NA,3
Pseudois,nayaur,Bovidae,Yes,Not_Threatened,51800,730,365,159.75,NA,NA,3101840,NA,288,2.51,19.16,1499745.97,NA,NA,3
Pseudois,schaeferi,Bovidae,No,NA,29300,NA,NA,NA,NA,NA,61144,NA,NA,NA,5.55,1574470,NA,NA,3
Pudu,mephistophiles,Cervidae,No,Not_Threatened,9600,NA,NA,NA,NA,NA,244304,NA,120,NA,30.32,54549.99,Monogamous,Specialist,3
Pudu,puda,Cervidae,No,Threatened,9540,NA,196.17,210,NA,NA,223037,0.18,150,NA,11.99,79630.71,Monogamous,Generalist,1
Rangifer,tarandus,Cervidae,No,Not_Threatened,108000,NA,644.18,222.5,365,NA,18376464,2770,242.4,2.59,1.07,1216452.73,Polygamous,Generalist,3
Raphicerus,campestris,Bovidae,Yes,Not_Threatened,11600,NA,200.08,210,219,2,4930076,0.44,168,1.24,24.64,43459.82,Monogamous,Generalist,3
Raphicerus,melanotis,Bovidae,No,Threatened,10400,NA,NA,NA,NA,1.5,243785,NA,168,10.2,47.95,156501,Monogamous,Generalist,3
